IP:PORT, LOSS, DELAY
162.159.192.35:5956,0.00%,135 ms
162.159.195.227:4233,0.00%,135 ms
162.159.195.28:4233,0.00%,135 ms
162.159.195.157:4233,0.00%,136 ms
162.159.192.13:5956,0.00%,136 ms
162.159.192.125:4233,0.00%,144 ms
162.159.192.66:5956,0.00%,144 ms
162.159.192.35:4233,0.00%,144 ms
162.159.195.157:5956,0.00%,145 ms
162.159.195.193:4233,0.00%,145 ms
162.159.192.13:4233,0.00%,145 ms
162.159.192.134:5956,0.00%,145 ms
162.159.192.163:5956,0.00%,145 ms
162.159.192.78:4233,0.00%,146 ms
162.159.195.95:5956,0.00%,147 ms
162.159.195.28:5956,0.00%,147 ms
162.159.195.95:4233,0.00%,147 ms
162.159.195.227:5956,0.00%,147 ms
162.159.192.163:4233,0.00%,149 ms
162.159.192.19:4233,0.00%,154 ms
162.159.195.47:5956,0.00%,155 ms
162.159.192.236:5956,0.00%,155 ms
162.159.195.252:5956,0.00%,155 ms
162.159.192.82:4233,0.00%,155 ms
162.159.195.47:4233,0.00%,155 ms
162.159.192.78:5956,0.00%,156 ms
162.159.192.66:4233,0.00%,156 ms
162.159.195.7:5956,0.00%,159 ms
162.159.195.178:4233,0.00%,163 ms
162.159.192.42:4233,0.00%,163 ms
162.159.195.99:4233,0.00%,163 ms
162.159.192.19:5956,0.00%,163 ms
162.159.192.42:5956,0.00%,164 ms
162.159.195.72:5956,0.00%,164 ms
162.159.195.233:4233,0.00%,164 ms
162.159.195.7:4233,0.00%,164 ms
162.159.195.193:5956,0.00%,164 ms
162.159.192.82:5956,0.00%,164 ms
162.159.195.233:5956,0.00%,164 ms
162.159.195.72:4233,0.00%,164 ms
162.159.195.36:4233,0.00%,165 ms
162.159.192.223:4233,0.00%,165 ms
162.159.195.36:5956,0.00%,165 ms
162.159.192.223:5956,0.00%,165 ms
162.159.195.99:5956,0.00%,165 ms
162.159.195.101:5956,0.00%,165 ms
162.159.195.101:4233,0.00%,166 ms
162.159.195.252:4233,0.00%,167 ms
162.159.192.134:4233,0.00%,176 ms
188.114.97.187:5956,0.00%,177 ms
188.114.97.117:4233,0.00%,177 ms
188.114.99.244:4233,0.00%,177 ms
188.114.96.200:4233,0.00%,177 ms
188.114.96.64:5956,0.00%,178 ms
188.114.96.64:4233,0.00%,178 ms
188.114.96.42:4233,0.00%,178 ms
188.114.97.117:5956,0.00%,178 ms
188.114.96.67:4233,0.00%,178 ms
188.114.98.19:4233,0.00%,178 ms
188.114.98.183:4233,0.00%,178 ms
188.114.96.181:5956,0.00%,178 ms
188.114.99.86:4233,0.00%,178 ms
188.114.99.42:5956,0.00%,178 ms
188.114.99.220:5956,0.00%,179 ms
188.114.96.88:5956,0.00%,179 ms
188.114.99.173:5956,0.00%,179 ms
188.114.98.141:4233,0.00%,179 ms
188.114.98.179:5956,0.00%,179 ms
188.114.99.176:5956,0.00%,179 ms
188.114.97.129:5956,0.00%,179 ms
188.114.96.148:4233,0.00%,179 ms
188.114.98.55:5956,0.00%,180 ms
188.114.97.129:4233,0.00%,180 ms
188.114.97.40:5956,0.00%,180 ms
188.114.96.108:4233,0.00%,180 ms
188.114.96.181:4233,0.00%,180 ms
188.114.98.141:5956,0.00%,180 ms
188.114.97.40:4233,0.00%,180 ms
188.114.97.81:5956,0.00%,180 ms
188.114.97.221:4233,0.00%,180 ms
162.159.192.236:4233,0.00%,180 ms
162.159.195.178:5956,0.00%,182 ms
188.114.98.55:4233,0.00%,183 ms
188.114.98.190:5956,0.00%,199 ms
188.114.96.236:4233,0.00%,199 ms
188.114.96.236:5956,0.00%,200 ms
188.114.97.81:4233,0.00%,200 ms
188.114.97.68:4233,0.00%,200 ms
188.114.97.68:5956,0.00%,200 ms
188.114.97.150:4233,0.00%,200 ms
188.114.99.100:5956,0.00%,200 ms
188.114.98.228:5956,0.00%,200 ms
188.114.99.48:4233,0.00%,200 ms
188.114.97.187:4233,0.00%,200 ms
188.114.96.42:5956,0.00%,201 ms
188.114.97.176:5956,0.00%,201 ms
188.114.99.32:4233,0.00%,201 ms
188.114.99.7:4233,0.00%,201 ms
188.114.99.244:5956,0.00%,201 ms
188.114.97.32:5956,0.00%,201 ms
188.114.98.137:5956,0.00%,201 ms
188.114.98.254:5956,0.00%,201 ms
188.114.98.226:5956,0.00%,201 ms
188.114.97.150:5956,0.00%,201 ms
188.114.96.108:5956,0.00%,201 ms
188.114.97.32:4233,0.00%,202 ms
188.114.99.177:5956,0.00%,202 ms
188.114.98.137:4233,0.00%,202 ms
